secteur_activite;horodate;plage_de_puissance_souscrite;region;nb_points_soutirage;date;temperature_2m_mean;relative_humidity_mean;precipitation_sum;total_energie_soutiree_wh
S1: Agriculture;2025-04-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/04/2025;8.181251;69.14335;0.0;0.0
S1: Agriculture;2025-07-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/07/2025;28.622917;54.615585;0.0;0.0
S2: Industrie;2024-10-01T00:30:00Z;P5: ]1000-2000] kVA;Provence-Alpes-Côte d'Azur;101;01/10/2024;18.739584;86.10247;2.3;21159500.0
S1: Agriculture;2024-04-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/04/2024;9.29375;81.74018;2.6;0.0
S2: Industrie;2023-10-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;212;01/10/2023;17.554167;77.22229;0.0;180639750.0
S2: Industrie;2024-04-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;208;01/04/2024;9.29375;81.74018;2.6;189804249.0
S2: Industrie;2023-07-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;211;01/07/2023;18.114584;75.01564;2.4;218055957.0
S2: Industrie;2025-01-01T01:00:00Z;P6: > 2000 kVA;Hauts-de-France;195;01/01/2025;7.7999997;84.035126;10.9;115057472.0
S2: Industrie;2024-01-01T01:00:00Z;P6: > 2000 kVA;Hauts-de-France;209;01/01/2024;7.3291664;83.61981;5.4;113209833.0
S2: Industrie;2025-04-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;198;01/04/2025;8.181251;69.14335;0.0;236300000.0
S2: Industrie;2024-07-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;209;01/07/2024;15.539584;76.29045;1.5;195853000.0
S2: Industrie;2025-07-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;204;01/07/2025;28.622917;54.615585;0.0;255009000.0
S3: Tertiaire;2024-10-01T00:30:00Z;P5: ]1000-2000] kVA;Provence-Alpes-Côte d'Azur;259;01/10/2024;18.739584;86.10247;2.3;34498583.0
S2: Industrie;2025-10-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;202;01/10/2025;12.260417;84.339134;0.0;246081250.0
S3: Tertiaire;2023-07-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;48;01/07/2023;18.114584;75.01564;2.4;21034166.0
